Index,Entity,Values
111,Amino acids,0.235473593
112,Anatomical changes,0.324107526
113,Andhra Pradesh gathering,0.149197802
114,Angiotensin II receptor blockers,0.237918956
115,Anosmia,0.411627806
116,Anthony Stephen Fauci,0.181666279
117,Anticoagulant medications,0.354972068
118,Antidepressants,0.339953654
119,Antihistamine drugs,0.274874206
120,Appropriate personal protective equipment,0.251004445
121,Approval,0.277170705
122,Approval approval,0.285292761
123,ArcGIS 10.4.In December 2016,0.329567992
124,ArcGIS 9,0.242959305
125,ArcGIS Engine,0.184604374
126,ArcGIS Engine distribution,0.281529076
127,ArcGIS Explorer,0.287336327
128,ArcGIS Mobile Desktop software,0.219663619
129,ArcGIS Pro application,0.269746734
130,ArcIMS,0.270606189
131,ArcInfo,0.2592253
132,ArcMap,0.292336959
133,ArcReader,0.355990007
134,Archival evidence,0.253747951
135,Around 97%,0.181389457
136,Arrhythmia,0.26051533
137,Ars Technica,0.215626868
138,Asbestosis,0.309833424
139,Ashley Robin Bloomfield,0.301654984
140,Aspirin,0.326692608
141,Aspirin-exacerbated respiratory disease,0.145281129
142,Asthma,0.250462137
143,Astroviridae,0.236601403
144,Astrovirus,0.209557688
145,Astroviruses,0.327832486
146,Atrial fibrillation,0.299951695
147,Atypical histories,0.220758385
148,Atypical pneumonia,0.359554267
149,Australian Prime Minister Scott Morrison,0.178966669
150,Avastrovirus species,0.233992158
151,Avian Influenza,0.246651998
152,Avian influenza,0.190569276
153,Avoidance,0.210295986
154,Awang Bulgiba,0.32481511
155,Azithromycin,0.354075499
156,BBB disruption,0
157,BBC News,0.309615354
158,BBC News Online,0.297503176
159,BBC News Player,0.336055479
160,BBC News website,0.251458174
161,BMJ,0.266386572
162,Backyard village poultry,0.074611095
163,Bacteria,0.307919709
164,Bagasse,0.313890999
165,Bank Indonesia,0.277879834
166,Bank Indonesia repo rate,0.194356247
167,Bats,0.374980015
168,Bergamo,0.148775663
169,Berlin definition,0.24364185
170,Berlin definitions,0.244101053
171,Bill Morris,0
172,Bill T. Jones,0.267739003
173,Biomarkers,0.23503645
174,Black Americans,0.291179827
175,Black boys,0
176,Black people,0.315073147
177,Black residents,0.15525837
178,Black tenants,0
179,Blacks,0.357177338
180,Blood,0
181,Blood air barrier Membrane,0
182,Blood stasis,0
183,BlueTrace,0
184,BnF,0.345825183
185,Booker T. Washington critic,0.264856777
186,Borrelli Extraordinary Commissioner,0.301835227
187,Brazil's IBOVESPA,0.338859972
188,Bronchiolitis,0.163523198
189,Byetta,0.277697546
190,C$7.5 billion,0.324597991
191,CO2,0.229444368
192,CSF testing,0.245982881
193,CT scan,0.223406398
194,CT scans,0.344881615
195,California,0.361797934
196,Canada,0.331245611
197,Canada's S&P/TSX Composite Index,0.208949519
198,Capsaicin,0.296224121
199,Cardiovascular complications,0.292499055
200,Caribbean diaspora,0
201,Causes,0.331103356
202,Cave-roosting species,0.323556618
203,Certain infections,0.275471502
204,Certain medication classes,0.325064159
205,Characteristic physical findings,0.25647711
206,Charles Blackley,0.241815583
207,Chemotherapy,0.17682567
208,Chilean President Sebastián Piñera,0.307703361
209,Chimpanzee Adenovirus,0.351397823
210,China,0.324213105
211,Chinese-American men,0.271572599
212,Chiroptera,0.325278934
213,Chlamydophila,0.266706133
214,Chlorination,0.181508774
215,Chronic infection,0.196714689
216,Chronic obstructive pulmonary disease,0.33033905
217,Cidofovir,0.281882236
218,Cigarette smoking,0.285527288
219,Clinical symptoms,0.225127876
220,Cognitive behavioral therapy,0.257609377
221,Colleagues,0.259157964
222,Common adverse drug reactions,0.401171788
223,Common effects,0.291722643
224,Common indoor allergens,0.264003105
225,Common symptoms,0.215727996
226,Como,0.236090349
227,Complications,0.422657487
228,Controlled wood fires,0.210267229
229,Corporations,0.315536145
230,Corticosteroids,0.30045167
231,Cough medicine,0.368204925
232,Coughing,0.142186247
233,Coxiella,0.309275343
234,Crozier,0
235,Cruz et al.,0.211429145
236,Cultural Threat,0.260658709
237,Currently recommended antibiotics,0.365348761
238,Cushing,0.22645264
239,Czech serologist Jan Janský,0.423292922
240,DNA replication,0.226429944
241,Damon Buffini,0
242,Democrat John Kerry,0.273484372
243,Democratic Senator Barack Obama,0.270447766
244,Different bat species,0.259637998
245,Different groups,0
246,Direct signs,0.30315057
247,Disobey Idaho,0.246664171
248,Disorders,0.223074981
249,Dizzee Rascal,0
250,Doppler shift,0.295053514
251,Dr. Mark Dean,0.170599867
252,Drug,0.284308424
253,Dullness,0.291124252
254,Early reviews,0.244930206
255,Edwin Goldmann,0
256,Ellen More,0.270638097
257,Emissions,0.271349693
258,Endospores,0.28737754
259,Enterprise levelServer GIS products,0.337552651
260,Entry,0.25134545
261,Environmental agencies,0.262995992
262,Environmental factors,0.21762024
263,Eric Berger,0.232149885
264,Esri,0.321691535
265,Esri products,0.380052604
266,Esri software development,0.31844807
267,Evidence,0.281088465
268,Examples,0.324500289
269,Exercise,0.297408815
270,F. H. Bosworth,0.261540717
271,FDA,0.295182901
272,FDA approved neuraminidase antiviral flu drugs,0.291010347
273,FIPV,0.241489236
274,Face coverings,0.289190792
275,Factors,0.287437968
276,Famous bands,0
277,Famous examples,0.302130842
278,Famous grime artists,0
279,Famous niche artists,0
280,Fauci,0.313828335
281,Fauci's work,0.245864149
282,Fcγ receptors,0.332705598
283,Felix Bernstein,0.226098159
284,Females,0.277350606
285,Fibrin,0
286,Five manmade ecosystems,0.239524815
287,Flexicon,0.286310941
288,Flight,0.32745622
289,Foreign born blacks,0.366518128
290,Fourteen species,0.26727161
291,Fowl plague,0.244185723
292,France,0.314313244
293,Franklin D. Roosevelt's the New Deal program,0.247973869
294,Franklin D. Roosevelt's's New Deal coalition,0.273725531
295,Frequently,0.240580421
296,Ft74.5 billion,0.274750084
297,Garrett A. Morgan,0.351547075
298,Genentech,0.297198247
299,Genetic factors,0.172730526
300,German naturalist,0.217757249
301,Giuseppe Garibaldi,0.347348132
302,Government,0.274793171
303,Governor,0.405553034
304,Governor Jay Inslee,0.251462876
305,Gram positive bacteria,0.268195353
306,Gresik Regency,0.404348378
307,Grio,0.098560942
308,Guidelines,0.271976184
309,Gujarat Police,0.213086958
310,H5N1,0.381162092
311,H7N9,0.20623678
312,HAI,0
313,HBCUs,0.222978477
314,HCoV-OC43 and,0.338205393
315,HIV-1,0.253960686
316,Hadrian's Wall,0.294088642
317,Haementeria ghilianii,0
318,Healthy erythrocytes,0
319,Heat,0.314940563
320,Hemocyanin,0
321,Hemoglobin,0
322,Hemoptysis,0.286233246
323,Henry IV,0.316502255
324,Henry Jacques Garrigues,0.169936589
325,Herpes zoster encephalitis,0.288928638
326,Hispanics,0.387023361
327,Histological examinations,0.135671576
328,Histology,0.254694552
329,Human activities,0.244860626
330,Human airborne diseases,0.214187588
331,Hyperphosphorylated tau,0
332,ICD) Electrical treatment,0.219210064
333,ICTV,0.25984783
334,Imaging biomarkers,0.273070751
335,Important aspects,0.27286251
336,Imtiaz Habib's Black Lives,0.342477514
337,India,0.311443623
338,Indian Finance Minister Nirmala Sitharaman,0.331729546
339,Indications,0.280113766
340,Indirect causes,0.194972151
341,Individuals,0.419252185
342,Indonesian Finance Minister Sri Mulyani,0.257913588
343,Indoor commercial poultry,0.243576117
344,Industrial uses,0.348606319
345,Infection,0.325254572
346,Inflamed lymphoid tissue,0.282459829
347,Inhaled bronchodilators,0.352843726
348,Injury,0.320725867
349,Insectivorous bats,0.298799697
350,Institutions,0.317348289
351,Intensivists,0.352289863
352,Intravenous administration,0.325083477
353,Islam,0.302847245
354,Issues,0.232883659
355,Italian Prime Minister Giuseppe Conte,0.292782612
356,Italy,0.331547038
357,James Armistead,0.36840449
358,Japanese women,0.327116341
359,Jawed vertebrates,0
360,Jean Blanchet,0.250544826
361,Jennifer Ouelette,0.437660511
362,John Timmer,0.219900015
363,Judges award,0.256409229
364,Karl Landsteiner,0.230358381
365,Klebsiella,0.28177822
366,Lack,0.376134379
367,Langston Hughes,0.414840511
368,Laparoscopic appendectomy,0.287603551
369,Large numbers,0.328639191
370,Larry Kramer,0.270573882
371,Leading AIDS activist,0.251459772
372,Leading AIDS activist Larry Kramer,0.201272921
373,Leading Black activists,0.37076493
374,Leaked industrial vapours,0.175937908
375,"Leflunomide, Cidofovir, IVIG",0.266287027
376,Leomie Anderson,0
377,Lewis Howard Latimer,0.302445423
378,Li,0.324263428
379,LibertyFest anti-lockdown rally,0.255400477
380,Lineage,0.297802364
381,Lineage C).Hedgehog,0.191823204
382,Lipid soluble antibiotics,0.171810127
383,Lister,0.366164645
384,Liverpool,0.27548294
385,London Blacks,0
386,Long acting beta adrenoceptor agonists,0.306246938
387,Long term use,0.197358928
388,Losartan,0.205840726
389,Low middle income countries,0.180988348
390,Low oil price,0.332381896
391,Lower city,0.176525737
392,Lung disease,0
393,M. Henri Lemaître,0.301834025
394,MRI,0.31002769
395,Maharashtra,0.267356328
396,Maintenance treatment,0.415299445
397,Malaysian Prime Minister Muhyiddin Yassin,0.361942975
398,Mamastroviruses,0.235500754
399,Management,0.34121678
400,MapObjects,0.353393342
401,Marcello Piacentini,0.291752973
402,Markaz,0.253811
403,Mature red blood cells,0
404,"Meckel's diverticulitis, intussusception",0.299550844
405,Medical management,0.190686362
406,Medical treatment,0.261121716
407,Megabat species,0.372729254
408,Megabats,0.289656091
409,Metabolic acidosis,0.278934131
410,Metastatic recurrent disease.10 20 %,0.340606003
411,Mexico,0.315935974
412,Michael Fuller,0
413,Michigan,0.354314421
414,Microaspirations,0.3152997
415,Microbiology Text page,0.290909537
416,Microorganisms,0.317140258
417,Microsoft,0.148627999
418,Minimal criteria,0.231392772
419,Minor air pollutants,0.203698596
420,Mississippi Mississippi,0.214400351
421,Mobile ArcGIS Engine,0.140873855
422,Mobile sources,0.367460852
423,Modalities,0
424,Modified,0.209719573
425,More than 10 million people,0.25917523
426,More than 50%,0.180910441
427,Moth species,0.375116736
428,Multiple studies,0.348832071
429,Muslim students,0.165733584
430,Muslims,0.179269272
431,Myelodysplastic syndromes,0
432,N terminal peptidase M2 domain,0.282939982
433,NAACP,0.20199604
434,NASDAQ Composite,0.253077635
435,NBC News,0.318712988
436,NIH NHLBI ARDS Network,0.308804857
437,NK cell,0.267942707
438,NSAID medications,0.247657439
439,NZ$12.1 billion fiscal stimulus program,0.320764066
440,Napoleon,0.178105451
441,Narrative Eye,0.35732747
442,Nation,0.34530444
443,Native American and Latino communities,0.300271326
444,Nazi opposition,0.254059799
445,Nearly ARBs,0.191379754
446,Neurological adverse events,0.298642892
447,New Hampshire,0.263486421
448,New Zealand Finance Minister Grant Robertson,0.255132153
449,Newcastle disease,0.21314728
450,News articles,0.229343212
451,Niche,0
452,Nipah virus,0.229341371
453,Nizamuddin Markaz calendar,0.217157441
454,Nocardia infections,0
455,Non - atopic asthma,0.308395182
456,Notable Black British writers,0
457,Numerous deaths,0
458,OPEC,0.279219096
459,Official publications,0.164878159
460,Olaudah Equiano,0.310265548
461,Older selective adrenergic agonists,0.186899172
462,One of the most,0.269201296
463,One review,0.26432555
464,One study,0.257425014
465,One thus,0.14688443
466,Online Science Writer Ivan Noble,0.262683916
467,OpenForum,0.346132576
468,Organization,0
469,Organizations,0.4309436
470,Outdoor air pollution,0.348552936
471,Outgoing Malaysian Prime Minister Mahathir Mohamad,0.348165239
472,PSBB,0.235783205
473,PSBB Makassar,0.180690718
474,Patients,0.316046471
475,People,0.195980272
476,Permira,0
477,Personal SDE databases,0.188737715
478,Physical examination,0.302278373
479,Pietro Paulo Corsi,0.217263023
480,Pietro Paulo Corsi master's claims,0.251438542
481,Platelet activation,0
482,Pliva,0.292324659
483,Post mortem examination,0.136565116
484,Potential alternatives,0.31670686
485,President Abraham Lincoln,0.183657507
486,President Trump,0.330541935
487,Prevention,0.198210934
488,Prevention control programs,0.226919806
489,Previous studies,0.243994692
490,Prince George's County,0.322062362
491,Private institutions,0.283096479
492,Problems,0.329578061
493,Prof . Tony Ryan,0.313152591
494,Proteases,0.200217165
495,Protesters,0.321826041
496,Provider knowledge,0.215581519
497,Provincial Medical and Surgical Journal,0.321675452
498,Psychological stress,0.396139891
499,Pteropodidae,0.367555057
500,Queen Elizabeth I's privy council,0.247709623
501,Questions,0.226924534
502,R,0.264895718
503,RM20 billion fiscal stimulus package,0.288553608
504,RM250 billion 57 billion fiscal stimulus package,0.28340506
505,RNA-dependent RNA polymerase,0.159474502
506,Rapid progression,0.289031298
507,Rattus coronavirus HKU24.Human,0.227934504
508,Raul Cano,0.255677696
509,ReOpen Maryland,0.282320247
510,Recent studies,0
511,Recovery,0.341897611
512,Reddit co-founder and Commencement speaker Alexis Ohanian,0.197971754
513,Reduction,0.258370985
514,Regional train services,0.297968322
515,Remote sources,0
516,Replication,0.21937285
517,Reports,0
518,Republican Senator John McCain,0.289070296
519,Research,0.187037929
520,Researchers,0.265123622
521,Rhinoviruses,0.230862083
522,Risk factors,0.477889103
523,Risks,0.316924928
524,Roman emperor Septimus Severus,0.224589077
525,Ronald Reagan,0.356546619
526,Roughly 23%,0.354313865
527,Rural areas,0.362060424
528,Russia,0.300693815
529,Russian Saudi officials,0.228818619
530,Russian oil customers,0.240868612
531,S protein,0.232425987
532,SABA,0.273725797
533,SARS CoV-1 virus,0.323991232
534,Samuel Coleridge-Taylor,0
535,Saudi Arabia,0.306000147
536,Saudi Aramco,0.285201373
537,Second line therapies,0.147136419
538,Security agencies,0.317279464
539,Selecter,0
540,Self reported black immigrants,0.263621109
541,Self reported non - Hispanic black immigrants,0.222409984
542,Seven trials,0.27682564
543,Several hundred protesters,0.308309593
544,Severe complications,0.211281978
545,Severe exacerbations,0.278751952
546,Shortages,0.39018561
547,Signs,0.273474315
548,Similar issues,0.275267132
549,Singaporean Finance Minister Heng Swee Keat,0.366159283
550,Sixties,0.231406658
551,Skinks,0
552,Small protests,0.357175553
553,Socioeconomics,0.387676036
554,Soldiers,0.254723854
555,Solidarity,0.384234244
556,Sources,0.145346002
557,South Korean Finance Minister Hong Nam-ki,0.256981185
558,Speakers,0.220751973
559,Sporulation,0.365631115
560,Sputum,0.254674636
561,Standard treatment,0.278524531
562,Staphylococcus aureus,0.377355865
563,Status epilepticus,0.289662398
564,Stephen Fry,0.262374458
565,Stephen Fry approval,0.240563506
566,Studies,0.272058287
567,Sufferers,0.238262912
568,Suffolk County,0.36720142
569,Supporters,0.338867329
570,Supraventricular tachycardias,0.245850747
571,Surgery,0.304174428
572,Symptom,0
573,Symptoms,0.229120739
574,T2,0
575,TLC,0.284322734
576,T]hey,0.287835858
577,Tablighi Jamaat,0.279886801
578,Tamiflu,0.193105796
579,Tegnell,0.266406709
580,Tentative evidence,0.157193049
581,Tests,0.266690341
582,The Africa Centres for Disease Control and Prevention (,0.312966565
583,The Bank of Mexico,0.3818198
584,The Bank of Mexico Canada,0.258658222
585,The Bank of Mexico Japan,0.222508836
586,The Dutch West India Company,0.24139717
587,The Esri Developer Network,0.35982432
588,The Federal Reserve,0.356530451
589,The Great Migration,0.309972645
590,The Kitsap County Republican Party,0.246921468
591,The Libertarian Party of Connecticut,0.193603509
592,The New Yorker,0.36952786
593,The Reserve Bank of New Zealand,0.292043606
594,The U.S. House of Representatives,0.306999369
595,The US Food and Drug Administration,0.338761527
596,The United Arab Emirates,0.307438609
597,"The United Kingdom, Australia, Canada and many other countries",0.225810718
598,The United States Environmental Protection Agency,0.273551974
599,The Weird Sisters,0.173960084
600,The World Health Organization,0.437993789
601,Three US states,0.357058624
602,Thrombus formation,0
603,Ticks,0
604,Toute la mémoire du monde,0.185896195
605,Tramline,0.346798797
606,Transfusion,0
607,Treatment,0.373921646
608,Treatment options,0.338147444
609,Treatments,0.163575733
610,Treaty,0.156081192
611,Tropical species,0.254987603
612,Trump administration,0.235858316
613,Twenty-five percent,0.19841289
614,Type 1 infection,0.248139316
615,Typical changes,0.303595676
616,Typical histological presentation,0.316036551
617,Typical viruses,0.285047667
618,U.S. Food Drug Administration FDA panel,0.313064012
619,U.S. President Donald Trump,0.190026836
620,U.S. Senate,0.244592379
621,U.S. census bureau,0.266516385
622,UBI banking group,0.353408042
623,UK,0.381496264
624,USAMRMC,0.165237565
625,Ultrasonography,0.259146776
626,Universities,0.228448243
627,Upper respiratory tract infections,0.177297171
628,Vaccines,0.208190039
629,Vegetation,0.266013455
630,Vehicular exhaust,0.231986149
631,Ventricular arrhythmias,0.330869479
632,Violence,0.371957082
633,Viral vectors,0.397380527
634,Virchow's triad,0
635,Voice,0
636,Washington,0.366998333
637,Women,0.310768752
638,Word,0.229455993
639,World War II.World War II,0
640,World edition,0.310313042
641,Wuhan Central Hospital,0.344032376
642,Wurtz,0.191194587
643,Yinpterochiroptera,0.130875555
644,Yoga,0.345525298
645,YouTube educational video,0.19282291
646,Yuan et al.,0.261819971
647,Zika virus,0.195642498
648,a few days or weeks,0.241107527
649,a few dozen protesters,0.239707506
650,abdominal pain,0.241305121
651,abnormalities,0.234491206
652,about 100 companies,0.300382456
653,"about 157,000 people",0.315752406
654,about 2% to 3%,0.246206181
655,about 25%,0.425610331
656,about 410 parts,0.349491607
657,about 45%,0
658,"about 5,000 Ancient Greek manuscripts",0.362896605
659,about 6%,0.211750943
660,"about 62,000 premature mortalities",0.278498212
661,"about 760,000—about 19.3%",0.204223613
662,absence,0.311401867
663,abundant blood supply,0
664,account local understandings,0.112805019
665,accurate diagnosis,0.267244344
666,acting Secretary,0
667,activation,0.204310703
668,active microbat,0.192432476
669,activities,0.316892588
670,acute bronchitis,0.301209828
671,acute onset ABPA,0.339991199
672,adaptations,0.220111607
673,adaptive immune system,0
674,additional lending facility,0.263265775
675,adenocarcinoma,0.26100218
676,adenovirus,0.207797588
677,adenoviruses,0.226118596
678,adequate proxies,0.158086863
679,adequate virus proteins,0.228896642
680,administration,0.152332285
681,admission,0.245816806
682,advanced characteristics,0.225042717
683,advanced tertiary economy,0.302120741
684,advantages,0.403923416
685,advertising,0.152414637
686,affluent individuals,0.371345426
687,age,0.293311998
688,agencies,0.215223753
689,air pollution,0.309693133
690,airborne pathogens,0.366528152
691,airway inflammation,0.243975086
692,airways,0.287697322
693,allergens,0.35982749
694,allergic symptoms,0.344715139
695,almost 20%,0
696,almost 75%,0.294615554
697,alpine,0.322235828
698,alternative diagnosis,0.148049388
699,alveolar air,0
700,alveoli,0.236695606
701,amino acid degradation,0.335035323
702,amino acids,0.291956589
703,an additional 50 basis point,0.297618941
704,an additional €750 billion,0.437178297
705,"an estimated 50,000 preterm births",0.268634499
706,angiotensin II receptor antagonists,0.302634489
707,animals,0.412152162
708,announcement,0.150590284
709,annual influenza vaccination,0.184664628
710,anorexia,0.294256524
711,anosmia,0.259060843
712,anti - Spike immune serum,0.317022384
713,antibiotics,0.212162807
714,antibodies,0.279569985
715,antibody dependent enhancement,0.249586316
716,antihistamines,0.325630768
717,antiseptic obstetrics,0.279013801
718,antiviral treatment regimens,0.199330837
719,app,0.208803474
720,appeal,0.180762852
721,application programming interfaces,0.244024655
722,approval,0.312320475
723,approved treatments,0.260244293
724,approximately 40%,0.318525996
725,approximately 7%,0.288621971
726,approximately 85%,0.345110174
727,aprons,0.293722505
728,aromatic oxime derivatives,0.364082999
729,around 0.1%,0.201110072
730,around 3 per cent,0.245007869
731,arrhythmias,0.34306262
732,article,0.231302364
733,artificial support,0.210743341
734,asbestosis,0.192904816
735,association,0.286205004
736,asthma,0.411524892
737,asthma attacks,0.316318222
738,asthma control,0.327150944
739,asthmatic symptoms,0.243703164
740,astroviruses,0.241966443
741,"at least 28,059 confirmed cases",0.350443401
742,at least 3787 people,0.241921395
743,at least 50% European ancestry,0.261708462
744,at least one episode,0.252024844
745,at least three mosques,0.174095512
746,atrial fibrillation,0.310578273
747,atrium,0.226264715
748,atypical causes,0.407469236
749,atypical organisms,0.276470741
750,atypical symptoms:.No response,0.289978412
751,autism,0.423957759
752,autoimmune diseases,0
753,automatic traffic signal gas mask,0.245564017
754,availability,0.248357834
755,average,0.234943327
756,average European ancestry,0.299238272
757,average adult,0
758,average number,0.338999738
759,avian influenza response plan,0.29404913
760,award category,0.215471813
761,baby,0.362481256
762,bachelor degree,0.231807222
763,bachelor degrees,0.303805349
764,bacteria,0.365641363
765,bacterial spores,0.293049497
766,bad breath,0
767,bankruptcy,0.272911006
768,barrier resiliency,0
769,barriers,0.35747143
770,basic tools,0.268915443
771,bat houses,0.276927339
772,bats,0.385875132
773,benefit,0.320375413
774,benzodiazepines,0.345119506
775,berylliosis,0.303800939
776,best results,0.280563902
777,beta barrel,0.328614506
778,beta version,0.336853613
779,between 10 and 33%,0.280375441
780,between 40–60%,0.373981044
781,bevacizumab indication,0.269245903
782,biggest discounts,0.339715286
783,billion,0.350201194
784,billions of U.S. dollars,0.345502745
785,biological functions,0.280472882
786,biomarker,0.352961738
787,biomarkers,0.24403787
788,biosimilar,0.378834961
789,biphenyltetrazole moiety,0.316296466
790,birds,0.194725586
791,birth,0.284254823
792,black Caribbean children,0
793,black community,0
794,black musician,0.131218231
795,black oriented organizations,0.373021757
796,black people,0.214360022
797,black population,0.271818509
798,blacks,0.14533013
799,bladder distension,0.247117454
800,blockage,0.275969777
801,blog style layout,0.31823041
802,blood,0
803,blood brain barrier,0
804,blood loss,0
805,blood pressure,0.336624044
806,blood tests,0.377149951
807,blood type classification,0.245508012
808,blood volume,0
809,body,0.330997924
810,body cells,0.094953396
811,body immune system,0.150370383
812,brains,0.357097528
813,brainstem cerebellar signs,0.238932598
814,breakdown,0.138540886
815,breathlessness cough haemoptysis slight fever,0.398692279
816,bronchi,0.223160691
817,bronchial thermoplasty,0.213555249
818,bronchiectasis,0
819,bronchoalveolar lavage fluid BAL sample,0.277362922
820,bronchoconstriction,0.32493253
821,bug bounty program,0.290624536
822,business,0.168401616
823,businesses,0.166751864
824,capacity,0.192092412
825,capillary network,0.198620915
826,capsomere,0.19347551
827,captives,0.269568051
828,carbohydrate molecules,0.355863204
829,carbon monoxide gas,0.370905348
830,cardiac pacing,0.272650693
831,cascade,0
832,causal role,0.304922839
833,causes,0.227431597
834,cells,0.408573707
835,central government,0.237433573
836,central thrust,0.245831644
837,chain,0.393065236
838,challenges,0.275992433
839,changes,0.34900302
840,characteristics,0.276378563
841,chest infections,0.301522856
842,chest pain,0.393016752
843,child,0.252274354
844,children,0.453303828
845,cholestatic hepatitis,0.347484562
846,chronic cough,0
847,church,0.314194176
848,circumventricular organs,0
849,civil rights movement,0.219941977
850,class,0.261504284
851,classical serum biomarkers,0.518756132
852,claw,0.228486866
853,clearance,0.360328969
854,clindamycin,0.239836247
855,closure,0.213505858
856,clues,0.180186719
857,coding,0.186520091
858,collections,0.233689413
859,combination,0.145127766
860,combined capabilities,0.26812335
861,combined effect,0.281904116
862,commendation,0
863,common O alleles,0.264967032
864,common sources,0.414295935
865,common symptoms,0.300892066
866,common triggers,0.167438891
867,common vampire bat offspring,0.263442256
868,comparative effectiveness research,0.232235143
869,compilation,0.257199042
870,complications,0.245280477
871,compound,0.213943309
872,condition,0.254089085
873,conditions,0.342700607
874,confusion,0.23008655
875,congregation,0.319756003
876,conjunctival,0.299815224
877,connection,0.18816741
878,consciousness,0.296669201
879,consists,0.266297416
880,conspicuous collar,0.152895617
881,constant live streaming,0.167502429
882,consumption,0.202739967
883,contact,0
884,continuing standard ACE inhibitor,0.340954004
885,continuous,0.347972067
886,continuous population,0.24527158
887,contributions,0.307586414
888,copper,0
889,cor pulmonale,0
890,core set,0.271431843
891,core wall,0.322845598
892,coronavirus,0.266203769
893,correct blood group inheritance pattern,0.301938352
894,correct treatment,0.315301073
895,correlation,0.288422495
896,cortex,0.345762905
897,cough,0.328725538
898,counseling,0.23405732
899,counterfeit Avastin,0.289698456
900,couple,0.307770453
901,course,0.116896497
902,criteria,0.294356039
903,crop yields,0.376572283
904,culling,0.276174937
905,cultures,0.18400227
906,current events,0.316750207
907,current international consensus guidelines,0.302945459
908,cut,0.317029271
909,cysteine glutamic acid,0.169903282
910,damaging changes,0.265679722
911,data,0.19159256
912,databases,0.176127569
913,dead neurons,0.297410254
914,death,0.325685058
915,deaths,0.357364724
916,decision,0
917,decreased intensity,0.147375994
918,decreased level,0.355786861
919,decreased mucociliary clearance,0
920,definition,0.357906326
921,definitions,0.338379302
922,degree,0.329417169
923,delivery,0.367340521
924,demand,0.342975622
925,deposition,0.315174852
